"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,22.3,,
"ISL","Iceland","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,16.3,,
"ISL","Iceland","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,16.5,,
"ISL","Iceland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,19.9,,
"ISL","Iceland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,19.3,,
"IRL","Ireland","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,19.4,,
"IRL","Ireland","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,19,,
"IRL","Ireland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,21.3,,
"IRL","Ireland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,22.3,,
"ITA","Italy","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,22,,
"ITA","Italy","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,21.6,,
"ITA","Italy","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,27.3,,
"ITA","Italy","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,26,,
"JPN","Japan","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,15.1,,
"JPN","Japan","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,15.8,,
"JPN","Japan","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,22.1,,
"JPN","Japan","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,22.4,,
"KOR","Korea","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,12.8,,
"KOR","Korea","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,12.5,,
"KOR","Korea","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,17.7,,
"KOR","Korea","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,17.4,,
"LUX","Luxembourg","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,23.5,,
"LUX","Luxembourg","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,23.9,,
"LUX","Luxembourg","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,26.7,,
"LUX","Luxembourg","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,25.2,,
"MEX","Mexico","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,12.9,,
"MEX","Mexico","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,12.6,,
